site,generation,rep,N,VFVF,VFVC,VCVC,VFIF,VFIC,VCIC,IFIF,IFIC,ICIC,VF,VC,IC,IF
Acp,1,1,50,0,0,0,0,0,12,1,0,37,0,12,86,2
Acp,1,2,50,0,0,0,0,0,16,0,0,34,0,16,84,0
Acp,1,3,51,0,0,3,0,0,16,0,0,32,0,22,80,0
Acp,2,1,50,1,0,4,0,0,13,0,0,32,2,21,77,0
Acp,2,2,50,3,0,7,0,0,11,0,0,29,6,25,69,0
Acp,2,3,50,1,0,1,0,0,19,0,0,29,2,21,77,0
Acp,3,1,50,0,0,2,0,0,18,0,0,30,0,22,78,0
Acp,3,2,50,1,0,2,0,2,21,0,0,24,4,25,71,0
Acp,3,3,50,2,0,1,0,8,19,0,0,20,12,21,67,0
Acp,4,1,50,0,2,4,0,2,20,0,0,22,4,30,66,0
Acp,4,2,50,0,2,0,0,7,18,0,1,22,9,20,70,1
Acp,4,3,50,0,3,3,0,4,18,0,0,22,7,27,66,0
Acp,5,1,50,0,3,3,0,5,15,0,0,24,8,24,68,0
Acp,5,2,50,0,3,1,0,4,20,0,0,22,7,25,68,0
Acp,5,3,50,0,4,0,0,4,17,0,0,25,8,21,71,0
Acp,6,1,50,0,8,0,0,12,9,0,1,20,20,17,62,1
Acp,6,2,50,0,3,1,0,10,13,0,0,23,13,18,69,0
Acp,6,3,50,0,3,5,0,8,21,0,0,13,11,34,55,0
Acp,7,1,50,11,0,0,0,29,0,0,0,10,51,0,49,0
Acp,7,2,50,2,1,9,0,11,18,0,0,9,16,37,47,0
Acp,7,3,50,12,1,1,0,22,3,0,0,11,47,6,47,0
Acp,8,1,50,22,3,0,0,13,5,0,0,7,60,8,32,0
Acp,8,2,50,14,7,0,0,20,6,0,0,3,55,13,32,0
Acp,8,3,50,21,5,0,0,20,0,0,0,4,67,5,28,0
Tap,1,1,50,0,0,7,0,0,25,0,0,18,0,39,61,0
Tap,1,2,50,0,0,9,0,0,26,0,0,15,0,44,56,0
Tap,1,3,50,0,3,3,1,1,21,0,0,21,5,30,64,1
Tap,2,1,50,0,0,2,0,0,19,0,0,29,0,23,77,0
Tap,2,2,50,0,0,4,0,0,21,0,0,25,0,29,71,0
Tap,2,3,50,0,0,1,0,0,31,0,0,18,0,33,67,0
Tap,3,1,50,0,0,8,0,0,24,0,0,18,0,40,60,0
Tap,3,2,50,0,0,8,0,0,20,0,0,22,0,36,64,0
